Mon Sep 20 10:52:54 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.01566            64.5252
           0        tcp     0     1         3.02244            113.916
           0        tcp     0     1          4.0439            140.348
           0        tcp     0     1          5.0605            169.222
           0        tcp     0     1         6.06198            233.129
           0        tcp     0     1         7.07496            287.089
           0        tcp     0     1         8.07554            327.491
           0        tcp     0     1         9.08025            358.757
           0        tcp     0     1         10.0903            373.085
           0        tcp     0     1         11.0952            379.071
           0        tcp     0     1         12.1049            381.313
           0        tcp     0     1         13.1056            380.671
           0        tcp     0     1         14.1143            381.716
           0        tcp     0     1         15.1156            380.409
           0        tcp     0     1         16.1194            379.511
           0        tcp     0     1         17.1296            381.104
           0        tcp     0     1         18.1304            380.657
           0        tcp     0     1          19.131            380.675
           0        tcp     0     1         20.1359            383.156
           0        tcp     0     1         21.1361            376.746
           0        tcp     0     1         22.1452             381.56
           0        tcp     0     1         23.1557            381.038
           0        tcp     0     1         24.1616            382.759
           0        tcp     0     1         25.1623            380.669
           0        tcp     0     1         26.1631             380.61
           0        tcp     0     1         27.1658            379.913
           0        tcp     0     1         28.1699            379.349
           0        tcp     0     1         29.1738            379.446
           0        tcp     0     1         30.1739            380.924
           0        tcp     0     1         31.1762            380.051
           0        tcp     0     1         32.1764            380.825
           0        tcp     0     1         33.1848            381.845
           0        tcp     0     1         34.1857            380.564
           0        tcp     0     1           35.19             379.31
           0        tcp     0     1         36.1975             382.14
           0        tcp     0     1         37.2079             381.07
           0        tcp     0     1         38.2095            380.313
           0        tcp     0     1         39.2109            380.405
           0        tcp     0     1         40.2176            382.444
           0        tcp     0     1         41.2235            382.785
           0        tcp     0     1         42.2323             381.66
           0        tcp     0     1         43.2366             379.31
           0        tcp     0     1         44.2468            377.083
           0        tcp     0     1         45.2539            378.242
           0        tcp     0     1         46.2604             378.45
           0        tcp     0     1         47.2615              380.5
           0        tcp     0     1         48.2717            377.104
           0        tcp     0     1         49.2731            376.301
           0        tcp     0     1         50.2802            378.227
           0        tcp     0     1         51.2819            380.279
           0        tcp     0     1         52.2897            382.078
           0        tcp     0     1          53.291            380.398
           0        tcp     0     1          54.302            376.812
           0        tcp     0     1         55.3061            379.373
           0        tcp     0     1         56.3105            383.324
           0        tcp     0     1         57.3117            376.392
           0        tcp     0     1         58.3221            377.015
           0        tcp     0     1         59.3223            380.836
           0        tcp     0     1         60.3313             381.57
           0        tcp     0     1         61.3355            379.366
           0        tcp     0     1         62.3386            379.754
           0        tcp     0     1         63.3458            382.237
           0        tcp     0     1         64.3545            381.735
           0        tcp     0     1         65.3562            380.257
           0        tcp     0     1         66.3615            378.915
           0        tcp     0     1         67.3623            380.627
           0        tcp     0     1         68.3716            381.475
           0        tcp     0     1         69.3734            380.272
           0        tcp     0     1         70.3782            379.106
           0        tcp     0     1         71.3867            381.765
           0        tcp     0     1         72.3965            381.285
           0        tcp     0     1         73.4026            382.683
           0        tcp     0     1         74.4061             379.62
           0        tcp     0     1         75.4107            379.176
           0        tcp     0     1         76.4125            376.155
           0        tcp     0     1          77.415            379.978
           0        tcp     0     1         78.4191            383.431
           0        tcp     0     1         79.4228            379.557
           0        tcp     0     1         80.4256            379.846
           0        tcp     0     1         81.4282            379.937
           0        tcp     0     1         82.4359            378.034
           0        tcp     0     1         83.4469            380.805
           0        tcp     0     1          84.449            380.152
           0        tcp     0     1          85.458            377.526
           0        tcp     0     1         86.4678             381.28
