Mon Sep 20 10:38:47 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00484            550.299
           0        tcp     0     1         3.00966            554.381
           0        tcp     0     1         4.01199            551.677
           0        tcp     0     1         5.01653            554.536
           0        tcp     0     1         6.01793            552.188
           0        tcp     0     1         7.02317            550.078
           0        tcp     0     1         8.02552            555.752
           0        tcp     0     1         9.02562            552.901
           0        tcp     0     1         10.0268            552.296
           0        tcp     0     1         11.0306            554.967
           0        tcp     0     1         12.0347            554.774
           0        tcp     0     1         13.0355            552.524
           0        tcp     0     1         14.0364            556.551
           0        tcp     0     1         15.0404            554.816
           0        tcp     0     1         16.0436            551.222
           0        tcp     0     1          17.049            554.072
           0        tcp     0     1         18.0493            552.761
           0        tcp     0     1         19.0515            555.859
           0        tcp     0     1         20.0527            556.393
           0        tcp     0     1         21.0607              556.7
           0        tcp     0     1         22.0675            553.308
           0        tcp     0     1         23.0721            554.466
           0        tcp     0     1         24.0751            555.412
           0        tcp     0     1         25.0803            554.154
           0        tcp     0     1         26.0861            553.852
           0        tcp     0     1         27.0917            553.942
           0        tcp     0     1         28.0931            556.269
           0        tcp     0     1         29.1012            556.653
           0        tcp     0     1         30.1067            554.005
           0        tcp     0     1         31.1096            555.446
           0        tcp     0     1         32.1125            551.358
           0        tcp     0     1         33.1159            555.185
           0        tcp     0     1         34.1203            550.526
           0        tcp     0     1         35.1239            555.085
           0        tcp     0     1         36.1278            550.813
           0        tcp     0     1         37.1356            552.754
           0        tcp     0     1         38.1358            556.929
           0        tcp     0     1         39.1364            556.734
           0        tcp     0     1         40.1406            550.646
           0        tcp     0     1         41.1415            552.437
           0        tcp     0     1         42.1469            549.987
           0        tcp     0     1         43.1508            550.805
           0        tcp     0     1         44.1565            549.825
           0        tcp     0     1         45.1613            550.341
           0        tcp     0     1         46.1617            552.764
           0        tcp     0     1          47.168            553.567
           0        tcp     0     1         48.1727             554.43
           0        tcp     0     1          49.178            550.055
           0        tcp     0     1         50.1829            554.326
           0        tcp     0     1         51.1877            550.328
           0        tcp     0     1         52.1927            554.279
           0        tcp     0     1         53.1981            549.962
           0        tcp     0     1         54.2012            551.297
           0        tcp     0     1         55.2054            554.701
           0        tcp     0     1         56.2099            554.534
           0        tcp     0     1         57.2148            554.353
           0        tcp     0     1         58.2153            552.699
           0        tcp     0     1         59.2184            555.323
           0        tcp     0     1         60.2198            556.287
           0        tcp     0     1         61.2247            554.365
           0        tcp     0     1         62.2303            553.951
           0        tcp     0     1         63.2341            550.869
           0        tcp     0     1         64.2348            556.659
           0        tcp     0     1         65.2421             552.99
           0        tcp     0     1         66.2435            556.289
           0        tcp     0     1         67.2436            552.926
           0        tcp     0     1          68.249            554.027
           0        tcp     0     1         69.2561            553.123
           0        tcp     0     1         70.2562            552.903
           0        tcp     0     1         71.2637            552.938
           0        tcp     0     1         72.2683            554.493
           0        tcp     0     1         73.2691            548.407
           0        tcp     0     1         74.2693            552.886
           0        tcp     0     1         75.2748            553.985
           0        tcp     0     1         76.2762            552.197
           0        tcp     0     1         77.2847            552.363
           0        tcp     0     1         78.2899            550.092
           0        tcp     0     1         79.2917            551.952
           0        tcp     0     1         80.2989            549.006
           0        tcp     0     1         81.3026            555.033
           0        tcp     0     1          82.308            550.003
           0        tcp     0     1         83.3127            554.407
           0        tcp     0     1         84.3171            554.652
           0        tcp     0     1         85.3205            555.158
           0        tcp     0     1         86.3243            554.953
           0        tcp     0     1         87.3298             553.99
           0        tcp     0     1         88.3324            551.534
           0        tcp     0     1         89.3328            552.726
           0        tcp     0     1         90.3397            553.256
           0        tcp     0     1         91.3462            553.478
           0        tcp     0     1         92.3523            553.679
           0        tcp     0     1          93.355            551.452
           0        tcp     0     1         94.3567            556.119
           0        tcp     0     1         95.3584            556.092
           0        tcp     0     1         96.3629            554.589
