Thu Sep 16 19:28:30 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00398            448.776
           0        tcp     0     1         3.01173            463.352
           0        tcp     0     1         4.01295            458.192
           0        tcp     0     1         5.02107            455.055
           0        tcp     0     1         6.02402            461.486
           0        tcp     0     1         7.02709            453.267
           0        tcp     0     1         8.02747            458.577
           0        tcp     0     1         9.03584            459.005
           0        tcp     0     1         10.0415            464.314
           0        tcp     0     1         11.0467            464.541
           0        tcp     0     1         12.0471            458.543
           0        tcp     0     1         13.0525            464.451
           0        tcp     0     1         14.0586            464.129
           0        tcp     0     1         15.0687            466.335
           0        tcp     0     1         16.0801            465.724
           0        tcp     0     1         17.0857            464.349
           0        tcp     0     1         18.0923            463.842
           0        tcp     0     1         19.0984            451.932
           0        tcp     0     1         20.0991            466.606
           0        tcp     0     1         21.0992            462.817
           0        tcp     0     1         22.1024            465.435
           0        tcp     0     1         23.1027            466.799
           0        tcp     0     1         24.1081            464.464
           0        tcp     0     1         25.1124             464.93
           0        tcp     0     1         26.1174            448.303
           0        tcp     0     1         27.1176            462.758
           0        tcp     0     1         28.1256            463.224
           0        tcp     0     1          29.134            463.053
           0        tcp     0     1         30.1378            465.204
           0        tcp     0     1         31.1425            464.755
           0        tcp     0     1         32.1487            460.003
           0        tcp     0     1         33.1523            461.165
           0        tcp     0     1         34.1541            462.037
           0        tcp     0     1          35.161            463.724
           0        tcp     0     1         36.1641            465.529
           0        tcp     0     1          37.169             460.58
           0        tcp     0     1         38.1744            460.368
           0        tcp     0     1         39.1761            457.982
           0        tcp     0     1         40.1838            455.254
           0        tcp     0     1         41.1841            454.475
           0        tcp     0     1         42.1889            460.681
           0        tcp     0     1         43.1898            454.216
           0        tcp     0     1          44.193            461.378
           0        tcp     0     1         45.1994            468.035
           0        tcp     0     1         46.2062            443.475
           0        tcp     0     1         47.2123            464.095
           0        tcp     0     1         48.2178            464.393
           0        tcp     0     1         49.2184             458.48
           0        tcp     0     1         50.2229            456.712
           0        tcp     0     1         51.2251            461.813
           0        tcp     0     1         52.2334            463.088
           0        tcp     0     1         53.2359            461.702
           0        tcp     0     1         54.2373            458.134
           0        tcp     0     1         55.2435             455.89
           0        tcp     0     1         56.2509             463.55
           0        tcp     0     1         57.2575            467.931
           0        tcp     0     1         58.2649            463.506
           0        tcp     0     1         59.2674            465.794
           0        tcp     0     1         60.2755            471.322
           0        tcp     0     1         61.2828            463.574
           0        tcp     0     1         62.2837            458.299
           0        tcp     0     1          63.287            457.258
           0        tcp     0     1         64.2955            458.969
           0        tcp     0     1         65.2983            465.616
           0        tcp     0     1         66.3058            467.532
           0        tcp     0     1         67.3085            449.343
           0        tcp     0     1         68.3096            462.334
           0        tcp     0     1         69.3213             461.56
           0        tcp     0     1         70.3264            456.414
           0        tcp     0     1          71.329            461.664
           0        tcp     0     1         72.3302            462.269
           0        tcp     0     1         73.3404            450.074
           0        tcp     0     1          74.341            458.502
           0        tcp     0     1         75.3417            466.623
           0        tcp     0     1         76.3467            456.464
           0        tcp     0     1         77.3533            455.728
           0        tcp     0     1         78.3565            465.435
           0        tcp     0     1         79.3603            469.289
           0        tcp     0     1         80.3623            453.739
           0        tcp     0     1         81.3656            465.406
           0        tcp     0     1         82.3671            462.175
           0        tcp     0     1         83.3707            461.166
           0        tcp     0     1         84.3761            464.427
           0        tcp     0     1         85.3809            464.704
           0        tcp     0     1         86.3878            467.829
           0        tcp     0     1         87.3888              462.4
           0        tcp     0     1         88.3914            453.469
           0        tcp     0     1         89.3968            460.368
           0        tcp     0     1         90.3976            462.487
           0        tcp     0     1         91.3992            458.003
           0        tcp     0     1         92.4081            462.829
           0        tcp     0     1         93.4109            461.562
           0        tcp     0     1          94.417            464.119
           0        tcp     0     1         95.4186            462.104
           0        tcp     0     1         96.4231            460.764
           0        tcp     0     1         97.4251            461.898
           0        tcp     0     1         98.4319            459.743
           0        tcp     0     1         99.4349            465.562



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.01621            233.779
           0        tcp     0     2         3.02392            235.751
           0        tcp     0     2         4.02721            236.788
           0        tcp     0     2         5.03702            231.205
           0        tcp     0     2         6.04313            240.196
           0        tcp     0     2         7.04608             236.87
           0        tcp     0     2         8.05253            236.045
           0        tcp     0     2         9.05799            236.278
           0        tcp     0     2         10.0698            234.799
           0        tcp     0     2         11.0735             236.68
           0        tcp     0     2          12.084            235.117
           0        tcp     0     2         13.0964            234.638
           0        tcp     0     2         14.1177             240.65
           0        tcp     0     2         15.1329            234.017
           0        tcp     0     2         16.1436            239.103
           0        tcp     0     2          17.158            234.181
           0        tcp     0     2         18.1676            235.308
           0        tcp     0     2         19.1773             235.29
           0        tcp     0     2         20.1796            237.035
           0        tcp     0     2         21.1806            237.311
           0        tcp     0     2         22.1935            234.547
           0        tcp     0     2         23.2068            238.496
           0        tcp     0     2          24.209            237.051
           0        tcp     0     2         25.2249            233.843
           0        tcp     0     2         26.2303            236.285
           0        tcp     0     2          27.241            235.064
           0        tcp     0     2         28.2579            237.641
           0        tcp     0     2         29.2687            235.038
           0        tcp     0     2         30.2792            235.103
           0        tcp     0     2         31.2838            236.483
           0        tcp     0     2         32.2885            236.437
           0        tcp     0     2         33.2924            232.567
           0        tcp     0     2         34.2933            237.362
           0        tcp     0     2         35.2969            236.715
           0        tcp     0     2         36.3006            236.686
           0        tcp     0     2         37.3131            238.687
