Fri Oct 15 15:32:43 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00745            479.755
           0        tcp     0     1         3.00885            486.743
           0        tcp     0     1         4.01648            483.733
           0        tcp     0     1         5.01717            482.996
           0        tcp     0     1         6.02046            485.822
           0        tcp     0     1         7.02833            483.619
           0        tcp     0     1         8.03276            481.197
           0        tcp     0     1           9.033            487.308
           0        tcp     0     1         10.0407            483.708
           0        tcp     0     1          11.046            480.788
           0        tcp     0     1         12.0511             484.93
           0        tcp     0     1         13.0565            484.807
           0        tcp     0     1         14.0635            484.028
           0        tcp     0     1         15.0683            476.956
           0        tcp     0     1         16.0741            484.604
           0        tcp     0     1         17.0756            482.615
           0        tcp     0     1         18.0812            484.702
           0        tcp     0     1         19.0855            485.332
           0        tcp     0     1         20.0911            484.717
           0        tcp     0     1         21.1002            478.984
           0        tcp     0     1         22.1016             486.71
           0        tcp     0     1         23.1084            484.137
           0        tcp     0     1         24.1149            484.285
           0        tcp     0     1         25.1225            479.678
           0        tcp     0     1         26.1234            482.893
           0        tcp     0     1         27.1253            482.405
           0        tcp     0     1          28.127            482.535
           0        tcp     0     1         29.1276            483.006
           0        tcp     0     1         30.1278            483.255
           0        tcp     0     1         31.1332             484.79
           0        tcp     0     1         32.1423            478.982
           0        tcp     0     1         33.1473            485.022
           0        tcp     0     1         34.1573            478.514
           0        tcp     0     1         35.1576            487.286
           0        tcp     0     1         36.1629            488.945
           0        tcp     0     1         37.1651            482.242
           0        tcp     0     1         38.1713            480.374
           0        tcp     0     1         39.1725            478.642
           0        tcp     0     1         40.1797            483.918
           0        tcp     0     1         41.1831            481.708
           0        tcp     0     1         42.1905            479.756
           0        tcp     0     1         43.1958            480.783
           0        tcp     0     1         44.1989            481.874
           0        tcp     0     1         45.2003            486.717
           0        tcp     0     1         46.2074            484.006
           0        tcp     0     1         47.2121            485.107
           0        tcp     0     1          48.217             480.99
           0        tcp     0     1         49.2176             483.04
           0        tcp     0     1         50.2197            482.316
           0        tcp     0     1           51.22              483.2
           0        tcp     0     1         52.2222            482.235
           0        tcp     0     1          53.228             484.63
           0        tcp     0     1         54.2283            483.173
           0        tcp     0     1         55.2361            483.641
           0        tcp     0     1         56.2417            484.752
           0        tcp     0     1         57.2438            486.372
           0        tcp     0     1         58.2471            485.826
           0        tcp     0     1         59.2527            484.737
           0        tcp     0     1         60.2535            482.939
           0        tcp     0     1         61.2558             486.28
           0        tcp     0     1         62.2602            481.225
           0        tcp     0     1         63.2616            482.626
           0        tcp     0     1         64.2696            483.581
           0        tcp     0     1         65.2728            481.759
           0        tcp     0     1         66.2802            487.923
           0        tcp     0     1         67.2873            484.013
           0        tcp     0     1         68.2895             482.26
           0        tcp     0     1         69.2951            480.634
           0        tcp     0     1         70.2993            485.365
           0        tcp     0     1         71.3071            483.657
           0        tcp     0     1         72.3084            482.694
           0        tcp     0     1         73.3148            480.258
           0        tcp     0     1         74.3194            485.209
           0        tcp     0     1         75.3229            481.633
           0        tcp     0     1         76.3281            484.923
           0        tcp     0     1         77.3332            480.869
           0        tcp     0     1         78.3376            485.249
           0        tcp     0     1         79.3411             481.65
           0        tcp     0     1          80.346            480.999
           0        tcp     0     1         81.3462            479.123
           0        tcp     0     1           82.35              481.5
           0        tcp     0     1         83.3506            483.035
           0        tcp     0     1         84.3512            478.925
           0        tcp     0     1         85.3549            481.546
           0        tcp     0     1         86.3579            481.894
           0        tcp     0     1         87.3658            483.618
           0        tcp     0     1         88.3697            481.441
           0        tcp     0     1         89.3736            485.553
           0        tcp     0     1         90.3801             480.18
           0        tcp     0     1         91.3809            482.945
           0        tcp     0     1         92.3814            483.101
           0        tcp     0     1         93.3851            485.598
           0        tcp     0     1         94.3891            481.426
           0        tcp     0     1         95.3904            482.685
           0        tcp     0     1         96.3974             484.06
           0        tcp     0     1         97.3993            482.421
           0        tcp     0     1          98.402            486.095
           0        tcp     0     1          99.403            482.816



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.01319            238.518
           0        tcp     0     2         3.02566            238.687
           0        tcp     0     2         4.02946             240.75
           0        tcp     0     2          5.0487            241.122
           0        tcp     0     2         6.05737            243.647
           0        tcp     0     2         7.06547            243.785
           0        tcp     0     2         8.07896            238.447
           0        tcp     0     2         9.08224            240.875
           0        tcp     0     2         10.0863            240.686
           0        tcp     0     2         11.0896            244.947
           0        tcp     0     2         12.0926             236.86
           0        tcp     0     2         13.1063            242.443
           0        tcp     0     2         14.1227            241.787
           0        tcp     0     2         15.1444            236.538
           0        tcp     0     2         16.1511            244.124
           0        tcp     0     2         17.1644            238.498
           0        tcp     0     2         18.1896            239.716
           0        tcp     0     2         19.1982            243.659
           0        tcp     0     2          20.215            237.667
           0        tcp     0     2         21.2155            241.549
           0        tcp     0     2         22.2316            241.868
           0        tcp     0     2          23.255            240.129
           0        tcp     0     2          24.276            240.719
           0        tcp     0     2         25.2862            239.221
           0        tcp     0     2         26.2877            241.296
           0        tcp     0     2         27.2926            240.481
           0        tcp     0     2         28.3035            243.118
           0        tcp     0     2          29.317            238.451
           0        tcp     0     2         30.3238            240.019
           0        tcp     0     2         31.3272            244.929
           0        tcp     0     2         32.3408            238.422
           0        tcp     0     2         33.3588            241.421
           0        tcp     0     2          34.368            239.456
           0        tcp     0     2          35.378            243.328
           0        tcp     0     2         36.3817            240.778
           0        tcp     0     2         37.3856            244.803
           0        tcp     0     2         38.3864            237.365
           0        tcp     0     2         39.3978            242.994
           0        tcp     0     2         40.4146            237.687
           0        tcp     0     2         41.4211            244.161
           0        tcp     0     2         42.4225            241.326
           0        tcp     0     2         43.4365            242.364
           0        tcp     0     2         44.4553            237.198
           0        tcp     0     2         45.4608            240.345
           0        tcp     0     2         46.4815            240.792
           0        tcp     0     2         47.5054            240.013
           0        tcp     0     2         48.5149            243.455
           0        tcp     0     2         49.5347            240.982
           0        tcp     0     2         50.5396            240.487
           0        tcp     0     2         51.5472            243.912
           0        tcp     0     2         52.5544            239.936
           0        tcp     0     2         53.5665            242.811
           0        tcp     0     2         54.5833            237.685
           0        tcp     0     2         55.5865             244.96
           0        tcp     0     2         56.5882            241.268
           0        tcp     0     2         57.5883            241.637
           0        tcp     0     2         58.5981            235.263
           0        tcp     0     2         59.5997            245.348
           0        tcp     0     2         60.6228             236.22
           0        tcp     0     2         61.6368            242.368
           0        tcp     0     2         62.6512            242.275
           0        tcp     0     2         63.6513            237.542
           0        tcp     0     2         64.6528            241.294
           0        tcp     0     2         65.6546            241.236
           0        tcp     0     2         66.6629            239.685
           0        tcp     0     2         67.6654            241.043
           0        tcp     0     2         68.6807            242.062
           0        tcp     0     2         69.6842            240.814
           0        tcp     0     2         70.6886             240.62
           0        tcp     0     2         71.6968            239.695
           0        tcp     0     2         72.6984            241.264
           0        tcp     0     2         73.7015            240.929
           0        tcp     0     2         74.7117            239.216
           0        tcp     0     2         75.7231            243.008
           0        tcp     0     2          76.733            239.281
           0        tcp     0     2         77.7335             241.54
           0        tcp     0     2         78.7519            241.315
           0        tcp     0     2         79.7539            245.283
           0        tcp     0     2         80.7614            239.863
           0        tcp     0     2         81.7628            245.423
           0        tcp     0     2         82.7683            240.343
           0        tcp     0     2         83.7799             238.89
           0        tcp     0     2         84.7842            240.614
           0        tcp     0     2         85.7858            237.193
           0        tcp     0     2         86.8053            241.057
           0        tcp     0     2         87.8309            239.637
           0        tcp     0     2          88.832            245.492
           0        tcp     0     2         89.8451            238.531
           0        tcp     0     2         90.8522            239.969
           0        tcp     0     2         91.8587            240.098
           0        tcp     0     2         92.8693            243.178
           0        tcp     0     2         93.8781            239.563
           0        tcp     0     2          94.886            239.766
